locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000037944,Ccr7,1,349,NE,Nonessential
ENSMUSG00000037949,Ano10,1,349,NE,Nonessential
ENSMUSG00000037953,A4gnt,1,349,NE,Nonessential
ENSMUSG00000037958,Ccdc55,1,349,E,Essential
ENSMUSG00000037962,Fam101a,1,349,NE,Nonessential
ENSMUSG00000037966,Ninj1,1,349,E,Essential
ENSMUSG00000037974,Muc5ac,1,349,NE,Nonessential
ENSMUSG00000037979,Ccdc92,1,349,NE,Nonessential
ENSMUSG00000037992,Rara,1,349,E,Essential
ENSMUSG00000037994,Nhedc2,1,349,NE,Nonessential
ENSMUSG00000037995,Igsf9,1,349,NE,Nonessential
ENSMUSG00000037996,Slc24a2,1,349,NE,Nonessential
ENSMUSG00000038000,Acd,1,349,E,Essential
ENSMUSG00000038002,Cramp1l,1,349,NE,Nonessential
ENSMUSG00000038015,Prm2,1,349,E,Essential
ENSMUSG00000038020,Rapgefl1,1,349,NE,Nonessential
ENSMUSG00000038024,Dennd4c,1,349,E,Essential
ENSMUSG00000038025,Phf2,1,349,E,Essential
ENSMUSG00000038026,Kcnj9,1,349,NE,Nonessential
ENSMUSG00000038028,9630033F20Rik,1,349,NE,Nonessential
ENSMUSG00000038037,Socs1,1,349,E,Essential
ENSMUSG00000038042,Ptpdc1,1,349,NE,Nonessential
ENSMUSG00000038046,Rnmtl1,1,349,E,Essential
ENSMUSG00000038056,Mll3,1,349,E,Essential
ENSMUSG00000038058,Nod1,1,349,NE,Nonessential
ENSMUSG00000038065,2410066E13Rik,1,349,NE,Nonessential
ENSMUSG00000038067,Csf3,1,349,NE,Nonessential
ENSMUSG00000038068,Rnf144b,1,349,NE,Nonessential
ENSMUSG00000038071,Npy6r,1,349,NE,Nonessential
ENSMUSG00000038077,Kcna6,1,349,NE,Nonessential
ENSMUSG00000038080,Kdm1b,1,349,E,Essential
ENSMUSG00000038084,Opa1,1,349,E,Essential
ENSMUSG00000038085,4921517L17Rik,1,349,E,Essential
ENSMUSG00000038086,Hspb2,1,349,NE,Nonessential
ENSMUSG00000038115,Ano2,1,349,NE,Nonessential
ENSMUSG00000038116,Phf20,1,349,E,Essential
ENSMUSG00000038119,Cdon,1,349,E,Essential
ENSMUSG00000038121,4933403F05Rik,1,349,E,Essential
ENSMUSG00000038122,D630037F22Rik,1,349,NE,Nonessential
ENSMUSG00000038128,Camk4,1,349,E,Essential
ENSMUSG00000038146,Notch3,1,349,E,Essential
ENSMUSG00000038147,Cd84,1,349,NE,Nonessential
ENSMUSG00000038148,Cldn16,1,349,NE,Nonessential
ENSMUSG00000038151,Prdm1,1,349,E,Essential
ENSMUSG00000038155,Gstp2,1,349,NE,Nonessential
ENSMUSG00000038156,Spon1,1,349,NE,Nonessential
ENSMUSG00000038160,Atg5,1,349,E,Essential
ENSMUSG00000038168,Leprel1,1,349,E,Essential
ENSMUSG00000038170,Pde4dip,1,349,E,Essential
ENSMUSG00000038172,Ttc39b,1,349,NE,Nonessential
ENSMUSG00000038175,Mylip,1,349,NE,Nonessential
ENSMUSG00000038179,Slamf7,1,349,NE,Nonessential
ENSMUSG00000038188,Scarf1,1,349,NE,Nonessential
ENSMUSG00000038192,Cer1,1,349,NE,Nonessential
ENSMUSG00000038193,Hand2,1,349,E,Essential
ENSMUSG00000038203,Hoxa13,1,349,E,Essential
ENSMUSG00000038204,Asb10,1,349,NE,Nonessential
ENSMUSG00000038205,Prkab2,1,349,E,Essential
ENSMUSG00000038208,Pgap3,1,349,NE,Nonessential
ENSMUSG00000038209,Itln1,1,349,NE,Nonessential
ENSMUSG00000038210,Hoxa11,1,349,E,Essential
ENSMUSG00000038216,Pnmt,1,349,NE,Nonessential
ENSMUSG00000038224,Serpinf2,1,349,NE,Nonessential
ENSMUSG00000038225,Ccdc111,1,349,E,Essential
ENSMUSG00000038227,Hoxa9,1,349,NE,Nonessential
ENSMUSG00000038235,F11r,1,349,E,Essential
ENSMUSG00000038236,Hoxa7,1,349,NE,Nonessential
ENSMUSG00000038239,Hrc,1,349,NE,Nonessential
ENSMUSG00000038240,Pdss2,1,349,E,Essential
ENSMUSG00000038242,Aox4,1,349,E,Essential
